external_id,name,description,latitude,longitude,radius_meters,points,difficulty,active,check_in_count,length_meters,elevation_meters,image_url,source,route_json
52782,"Jerusalem (Ca 5,4 Km)","Utgangspunktet for turen er parkeringsplassen i krysset Heptekjerrveien - Beverveien. Her går du på flott skogsvei innover. Kjent terreng for alle Venndøler og har gått «Mila» på ski i barneårene.
Denne turen er mulig å kombinere med Mila kort og Eikelandsvarden.",58.273897,8.014016,100,100,Medium,True,466,,,https://images.trimpoeng.no/activity_external_15274488001912705.jpg,Trimpoeng Milevis 2021,"[{""latitude"": 58.283741, ""longitude"": 7.989214}, {""latitude"": 58.283157, ""longitude"": 7.990631}, {""latitude"": 58.283176, ""longitude"": 7.991942}, {""latitude"": 58.282368, ""longitude"": 7.993551}, {""latitude"": 58.282009, ""longitude"": 7.993766}, {""latitude"": 58.281235, ""longitude"": 7.993773}, {""latitude"": 58.279987, ""longitude"": 7.994884}, {""latitude"": 58.2798, ""longitude"": 7.994746}, {""latitude"": 58.279247, ""longitude"": 7.994943}, {""latitude"": 58.279068, ""longitude"": 7.994038}, {""latitude"": 58.279495, ""longitude"": 7.992414}, {""latitude"": 58.279587, ""longitude"": 7.990577}, {""latitude"": 58.27953, ""longitude"": 7.989517}, {""latitude"": 58.27935, ""longitude"": 7.989495}, {""latitude"": 58.278858, ""longitude"": 7.990093}, {""latitude"": 58.27763, ""longitude"": 7.992898}, {""latitude"": 58.276936, ""longitude"": 7.993506}, {""latitude"": 58.275738, ""longitude"": 7.995195}, {""latitude"": 58.275051, ""longitude"": 7.995893}, {""latitude"": 58.27449, ""longitude"": 7.998572}, {""latitude"": 58.275169, ""longitude"": 8.004885}, {""latitude"": 58.275131, ""longitude"": 8.006699}, {""latitude"": 58.274841, ""longitude"": 8.007517}, {""latitude"": 58.275024, ""longitude"": 8.00992}, {""latitude"": 58.274998, ""longitude"": 8.010273}, {""latitude"": 58.274826, ""longitude"": 8.010393}, {""latitude"": 58.274261, ""longitude"": 8.010282}, {""latitude"": 58.273979, ""longitude"": 8.011187}, {""latitude"": 58.273811, ""longitude"": 8.012183}, {""latitude"": 58.273937, ""longitude"": 8.014258}]"
52783,"Nasbøvarden rundløype (Ca 9,3 km)",Dette er også en av Venneslas topper. Besøk Nasbøvarden med det fantastisk flotte tårnet. Turen starter ved Kjåvannet. Her er det stor parkeringsplass. Følg oppmerket løype/GPS spor frem til tårnet. Herfra er det også mulig å følge merket løype videre til Lillevarden og Naspehelleren,58.311399,7.909078,100,500,Ekstra krevende,True,1579,,,https://images.trimpoeng.no/activity_external_15920387999458224.jpg,Trimpoeng Milevis 2021,"[{""latitude"": 58.29859, ""longitude"": 7.89788}, {""latitude"": 58.3, ""longitude"": 7.89806}, {""latitude"": 58.30141, ""longitude"": 7.89872}, {""latitude"": 58.3028, ""longitude"": 7.89878}, {""latitude"": 58.30304, ""longitude"": 7.89872}, {""latitude"": 58.30398, ""longitude"": 7.89769}, {""latitude"": 58.30455, ""longitude"": 7.89729}, {""latitude"": 58.30528, ""longitude"": 7.89726}, {""latitude"": 58.30655, ""longitude"": 7.89789}, {""latitude"": 58.30733, ""longitude"": 7.89807}, {""latitude"": 58.30844, ""longitude"": 7.8981}, {""latitude"": 58.31067, ""longitude"": 7.89634}, {""latitude"": 58.31156, ""longitude"": 7.89611}, {""latitude"": 58.31221, ""longitude"": 7.89552}, {""latitude"": 58.31296, ""longitude"": 7.89537}, {""latitude"": 58.31407, ""longitude"": 7.89576}, {""latitude"": 58.31471, ""longitude"": 7.89543}, {""latitude"": 58.31619, ""longitude"": 7.89632}, {""latitude"": 58.31697, ""longitude"": 7.89721}, {""latitude"": 58.3174, ""longitude"": 7.89716}, {""latitude"": 58.31861, ""longitude"": 7.89855}, {""latitude"": 58.3192, ""longitude"": 7.8986}, {""latitude"": 58.31977, ""longitude"": 7.89899}, {""latitude"": 58.31994, ""longitude"": 7.89967}, {""latitude"": 58.31952, ""longitude"": 7.90078}, {""latitude"": 58.31945, ""longitude"": 7.90256}, {""latitude"": 58.31917, ""longitude"": 7.90347}, {""latitude"": 58.31943, ""longitude"": 7.90464}, {""latitude"": 58.3189, ""longitude"": 7.90512}, {""latitude"": 58.31697, ""longitude"": 7.90541}, {""latitude"": 58.31671, ""longitude"": 7.90525}, {""latitude"": 58.31648, ""longitude"": 7.9037}, {""latitude"": 58.31626, ""longitude"": 7.90358}, {""latitude"": 58.31597, ""longitude"": 7.90285}, {""latitude"": 58.31531, ""longitude"": 7.90234}, {""latitude"": 58.31488, ""longitude"": 7.9026}, {""latitude"": 58.31446, ""longitude"": 7.90306}, {""latitude"": 58.31382, ""longitude"": 7.90573}, {""latitude"": 58.31215, ""longitude"": 7.90631}, {""latitude"": 58.31134, ""longitude"": 7.90684}, {""latitude"": 58.31064, ""longitude"": 7.9078}, {""latitude"": 58.30994, ""longitude"": 7.90835}, {""latitude"": 58.30961, ""longitude"": 7.90913}, {""latitude"": 58.3097, ""longitude"": 7.90994}, {""latitude"": 58.31011, ""longitude"": 7.91039}, {""latitude"": 58.31074, ""longitude"": 7.91012}]"
52784,Eitjønn - Rogeheia (Ca 2 km),"Kjør opp Eikelandsdalen, og ta bakkene opp mot Utsikten. Ca 100 meter etter innkjørselen til Utsikten, går det en skogsveg på venstre side. Her er det mulighet for parkering, men litt begrenset. Følg skogsvegen ca 300 m, ta så til høyre og følg sti videre. Her går du i lett terreng så dette er en tur for hele familien. 
Fantastisk flott utsikt. Følg GPS spor på kart i APP.",58.300391,7.991307,100,100,Medium,True,249,,,https://images.trimpoeng.no/activity_external_14935051816053562.jpg,Trimpoeng Milevis 2021,"[{""latitude"": 58.2946734, ""longitude"": 7.99279874}, {""latitude"": 58.29562909, ""longitude"": 7.99380202}, {""latitude"": 58.29597064, ""longitude"": 7.9946397}, {""latitude"": 58.29652363, ""longitude"": 7.99471691}, {""latitude"": 58.29678283, ""longitude"": 7.99429477}, {""latitude"": 58.29664087, ""longitude"": 7.99328783}, {""latitude"": 58.29677853, ""longitude"": 7.99269079}, {""latitude"": 58.29713968, ""longitude"": 7.99257343}, {""latitude"": 58.29730895, ""longitude"": 7.99270955}, {""latitude"": 58.29833314, ""longitude"": 7.99201084}, {""latitude"": 58.29870232, ""longitude"": 7.99063251}, {""latitude"": 58.29943682473772, ""longitude"": 7.9911915104754705}, {""latitude"": 58.299684235615246, ""longitude"": 7.991519922803363}, {""latitude"": 58.300154848286994, ""longitude"": 7.992425184442733}]"
52785,Indre Linnvann (Ca 4.6 km),"Stemmen ble bygd rundt 1960 for drikkevannsforsyninga til Vennesla. Tidligere lå der en lavere stem for sagbruka lenger nede i bekken. Vannbassenget består av Indre Linvann, Lyngvann og Takstetjønn som alle tre nå henger sammen.
Utgangspunktet for turen er Lianevegen.Kjør riksveg mot Kristiansand, når du passerer innkjøringa til Åsvegen, tar du neste veg til venstre, kjør opp denne til du kommer forbi jernbane undergang.
Her er det mulig å parkere. Ta til venstre etter underganga. Følg denne vegen i ca 30 m, da tar du inn veg til høyre. Følg denne vegen, etter ca 600 m kommer det skilt til Sagevann, følg dette. Etter ca 1,1 km kommer det et kryss, her tar du til høyre og følger traktorveg. Etter ca 1,5 km tar du til høyre på grusveg.Følg denne til du kommer til skilt mot Sagevann. Følg stien til målet",58.230274,7.971697,75,200,Krevende,True,309,,,https://images.trimpoeng.no/activity_external_15871415902378561.jpg,Trimpoeng Milevis 2021,"[{""latitude"": 58.242226367444, ""longitude"": 7.9523179433319}, {""latitude"": 58.241917811736, ""longitude"": 7.9549445806175}, {""latitude"": 58.242069386018, ""longitude"": 7.9557851507648}, {""latitude"": 58.242052813321, ""longitude"": 7.9576146085586}, {""latitude"": 58.241493680661, ""longitude"": 7.958877941193}, {""latitude"": 58.241524655586, ""longitude"": 7.9606573768083}, {""latitude"": 58.241296776739, ""longitude"": 7.9615974455308}, {""latitude"": 58.240822278714, ""longitude"": 7.961982298118}, {""latitude"": 58.240068087844, ""longitude"": 7.9632018077379}, {""latitude"": 58.238117438459, ""longitude"": 7.9635767603413}, {""latitude"": 58.237386174582, ""longitude"": 7.963395218206}, {""latitude"": 58.236924799985, ""longitude"": 7.9643128243799}, {""latitude"": 58.23672681669, ""longitude"": 7.964203723499}, {""latitude"": 58.235990430056, ""longitude"": 7.9643419390961}, {""latitude"": 58.235665627834, ""longitude"": 7.9634342473321}, {""latitude"": 58.234721483394, ""longitude"": 7.9627082845372}, {""latitude"": 58.234194494376, ""longitude"": 7.9651901497573}, {""latitude"": 58.233624256987, ""longitude"": 7.9668492404848}, {""latitude"": 58.233596684041, ""longitude"": 7.9673214726064}, {""latitude"": 58.233853138975, ""longitude"": 7.9682206937386}, {""latitude"": 58.233721011534, ""longitude"": 7.9691668129685}, {""latitude"": 58.233473338677, ""longitude"": 7.9697386961185}, {""latitude"": 58.232587392688, ""longitude"": 7.9706744615525}, {""latitude"": 58.232301028124, ""longitude"": 7.9715440911616}, {""latitude"": 58.231112507449, ""longitude"": 7.971263030342}, {""latitude"": 58.230878383458, ""longitude"": 7.9710068764756}, {""latitude"": 58.230500026488, ""longitude"": 7.9716994798632}]"
52786,Mila Kort (Ca 6 km),Utgangspunkt for turen er Heptekjerr. Finn skilter som turløypene er merket. Det er bra merking hele vegen på turen. Flott rundtur.,58.279453,8.010431,100,100,Medium,True,501,,,https://images.trimpoeng.no/activity_external_14627441799708594.jpg,Trimpoeng Milevis 2021,
52787,Takstetjønn (ca 5 km),"Dette er den nye vegen som går mellom Saga terrasse og Ålefjær. 
Du kan velge å begynne i Ålefjær eller på Saga, begge plasser har grei parkering. Det er en grusvei av god kvalitet, så her er det fint å ta med sykkelen også. Litt bratt stigning i begge ender, men når du først er kommet opp så er det helt utrolig fint.",58.221941,7.982544,100,100,Medium,True,110,,,https://images.trimpoeng.no/activity_external_14622157299040501.jpg,Trimpoeng Milevis 2021,
52788,Kringsjå (ca 5 km),"Det er fin parkering ved Steinsfossen. Herfra kan du gå Venneslas stolthet; Tømmerrenna i ca 1,8 km. Derfra går du på det gamle damanlegget til den gamle kraftstasjonen. Kringsjå er et historisk område der et lite samfunn eksisterte i ca 60 år basert på aktiviteten rundt kraftstasjonen fra ca 1900. På slutten av 60 tallet var alle bygninger revet og i dag består området av kulturminner og ruiner. Spennene og flott sted for store og små. Ta med niste! Turen er godt merket om hvordan du finner frem, og masse informasjon ang plassen på andre oppslag.",58.31422,7.967992,100,100,Medium,True,843,2691,,https://images.trimpoeng.no/activity_external_14624650858213717.jpg,Trimpoeng Milevis 2021,"[{""latitude"": 58.3005164, ""longitude"": 7.969215}, {""latitude"": 58.3011939, ""longitude"": 7.9701746}, {""latitude"": 58.3016614, ""longitude"": 7.9683665}, {""latitude"": 58.3024672, ""longitude"": 7.9678262}, {""latitude"": 58.3029783, ""longitude"": 7.9680353}, {""latitude"": 58.3034253, ""longitude"": 7.9680127}, {""latitude"": 58.304731, ""longitude"": 7.9673542}, {""latitude"": 58.305461, ""longitude"": 7.9666752}, {""latitude"": 58.3062173, ""longitude"": 7.966775}, {""latitude"": 58.3070369, ""longitude"": 7.9663775}, {""latitude"": 58.3083361, ""longitude"": 7.9666167}, {""latitude"": 58.3097519, ""longitude"": 7.9659465}, {""latitude"": 58.311515, ""longitude"": 7.9644361}, {""latitude"": 58.3119598, ""longitude"": 7.9643593}, {""latitude"": 58.3127076, ""longitude"": 7.9638444}, {""latitude"": 58.3152498, ""longitude"": 7.9599942}, {""latitude"": 58.315189, ""longitude"": 7.9595276}, {""latitude"": 58.3157146, ""longitude"": 7.9605042}, {""latitude"": 58.3157013, ""longitude"": 7.960905}, {""latitude"": 58.3153259, ""longitude"": 7.9619972}, {""latitude"": 58.3147559, ""longitude"": 7.9623666}, {""latitude"": 58.3143851, ""longitude"": 7.9629518}, {""latitude"": 58.3152344, ""longitude"": 7.9638762}, {""latitude"": 58.3155342, ""longitude"": 7.9645477}, {""latitude"": 58.3153116, ""longitude"": 7.9663407}, {""latitude"": 58.3154117, ""longitude"": 7.9675523}, {""latitude"": 58.3153395, ""longitude"": 7.9677593}, {""latitude"": 58.31526642322261, ""longitude"": 7.968372130163566}, {""latitude"": 58.31505253169052, ""longitude"": 7.968670061587697}, {""latitude"": 58.314776400869704, ""longitude"": 7.96860568857134}, {""latitude"": 58.31439319534221, ""longitude"": 7.96810143327654}]"
52789,Knudane (ca 7 km),"Knudane var en av de gamle heiegådene som ble nedlagt for mange år siden. Første gang gården er nevnt er i 1647. I dag står kun husmurene igjen og du kan også finne restene av den gamle bakerovnen. Det er fin parkering ved Steinsfossen. Herfra kan du gå Venneslas stolthet; Tømmerrenna i ca 2,5 km. Her går du ut av tømmerrenna på høyre side, følger sti opp vegen der du tar til venstre. Etter ca 200m passeres noen imponerende hytter/byggverk. Her har virkelig fantasien løpt løpsk. Her kan du utforske, se og la deg forbløffe over kreativiteten som er brukt.Etter en stopp her så er det bare å fortsette opp den bratte bakken ca 1 km. På toppen så finner du ruinene på Knudane. På returen følger du samme veg tilbake, eller du kan følge vegen som ender ved Kringsjå.",58.321391,7.948382,68,200,Krevende,True,552,7000,,https://images.trimpoeng.no/activity_external_14622164194934115.jpg,Trimpoeng Milevis 2021,"[{""latitude"": 58.300274, ""longitude"": 7.9694805}, {""latitude"": 58.30061, ""longitude"": 7.96918}, {""latitude"": 58.301205, ""longitude"": 7.970168}, {""latitude"": 58.30139, ""longitude"": 7.969131}, {""latitude"": 58.30201, ""longitude"": 7.967925}, {""latitude"": 58.30224, ""longitude"": 7.967775}, {""latitude"": 58.304234, ""longitude"": 7.967343}, {""latitude"": 58.30579, ""longitude"": 7.966337}, {""latitude"": 58.306377, ""longitude"": 7.9664583}, {""latitude"": 58.30693, ""longitude"": 7.9663105}, {""latitude"": 58.30828, ""longitude"": 7.966697}, {""latitude"": 58.310566, ""longitude"": 7.965437}, {""latitude"": 58.311413, ""longitude"": 7.964557}, {""latitude"": 58.31248, ""longitude"": 7.96395}, {""latitude"": 58.315254, ""longitude"": 7.9599566}, {""latitude"": 58.31612, ""longitude"": 7.957882}, {""latitude"": 58.31682, ""longitude"": 7.955803}, {""latitude"": 58.317448, ""longitude"": 7.949919}, {""latitude"": 58.31772, ""longitude"": 7.9500628}, {""latitude"": 58.31779, ""longitude"": 7.949426}, {""latitude"": 58.31798, ""longitude"": 7.949188}, {""latitude"": 58.31825, ""longitude"": 7.9491944}, {""latitude"": 58.31845, ""longitude"": 7.949736}, {""latitude"": 58.318275, ""longitude"": 7.950451}, {""latitude"": 58.31909, ""longitude"": 7.9529095}, {""latitude"": 58.319828, ""longitude"": 7.952925}, {""latitude"": 58.320065, ""longitude"": 7.952565}, {""latitude"": 58.31982, ""longitude"": 7.9517317}, {""latitude"": 58.319843, ""longitude"": 7.9512453}, {""latitude"": 58.320293, ""longitude"": 7.9509616}, {""latitude"": 58.32064, ""longitude"": 7.95048}, {""latitude"": 58.320858, ""longitude"": 7.950605}, {""latitude"": 58.32131, ""longitude"": 7.9502225}, {""latitude"": 58.321606, ""longitude"": 7.9496117}, {""latitude"": 58.321503, ""longitude"": 7.9490023}]"
52790,Avdagsfjellet,"Avdagsfjellet ligger i Frigstadgrenda øverst i Iveland kommune. Fjellet ligger 544 m.o.h. , lokalisert i det høyest beliggende området i kommunen. Avdagsfjellet er en spesiell formasjon, noen kaller det Ivelands Bessegg, mens andre beskriver det som ryggen av en kjempemessig hval som strekker seg mot sørøst.",58.534275,7.891596,100,200,Krevende,False,0,,,https://images.trimpoeng.no/activity_external_15895799615580836.jpg,Trimpoeng Milevis 2021,"[{""latitude"": 58.52328921460029, ""longitude"": 7.884838157424916}, {""latitude"": 58.5241458754118, ""longitude"": 7.884365798950181}, {""latitude"": 58.524757222242634, ""longitude"": 7.884633612442005}, {""latitude"": 58.52535402639374, ""longitude"": 7.884418628311147}, {""latitude"": 58.52579, ""longitude"": 7.88441}, {""latitude"": 58.52736, ""longitude"": 7.88535}, {""latitude"": 58.52787, ""longitude"": 7.88587}, {""latitude"": 58.52821, ""longitude"": 7.8866}, {""latitude"": 58.52895, ""longitude"": 7.88724}, {""latitude"": 58.52933, ""longitude"": 7.8872}, {""latitude"": 58.5307, ""longitude"": 7.88767}, {""latitude"": 58.53164, ""longitude"": 7.88861}, {""latitude"": 58.53199, ""longitude"": 7.8896}, {""latitude"": 58.53309, ""longitude"": 7.88981}, {""latitude"": 58.53352, ""longitude"": 7.88934}, {""latitude"": 58.5339, ""longitude"": 7.88934}, {""latitude"": 58.53423, ""longitude"": 7.889}, {""latitude"": 58.53466, ""longitude"": 7.88887}, {""latitude"": 58.53473, ""longitude"": 7.8899}, {""latitude"": 58.53437, ""longitude"": 7.89114}]"
52791,"MoseidTjønna (ca 1,5 km)",Parker bilen i Smååsane. Følg lysløypa. Flott vei rundt hele MoseidTjønna . Her kan du gå og sykle. Kjapp liten runde om du vil ha en liten kveldstur. Kan også kombineres med en avstikker opp til Rampa.,58.259923,7.940594,100,75,Enkel,True,2916,,,https://images.trimpoeng.no/activity_external_14633046576103176.jpg,Trimpoeng Milevis 2021,
